poiID,type,poiName,overview,xmlID,street,town,postcode,area,county,country,telephone,telephoneTitle1,telephone1,telephoneDetail1,telephoneTitle2,telephone2,telephoneDetail2,telephoneTitle3,telephone3,telephoneDetail3,telephoneTitle4,telephone4,url,train ,tube,tram,bus,openingTimes,monthsClosed,daysClosed,wheelchairAccess,wheelchairAccessText,foodAndDrink,Shop,guidedTours,audioTours,toursText,Price - to be deleted once entered,adult,concessions,child,childText,priceText,currency,lat,long,indoor,timeInMins,unmissable,topChoice,theme,seoURL,metaTITLE,metaDESC,taxonomy - to be deleted later,cuisine,priceCat,additional_info,whatsOnTitle1,whatsOnTicketPrice1,whatsOnTheme1,whatsOnDescription1,boxOfficeTelephone1,whatsOnURL1,whatsOnStartDate1,whatsOnEndDate1,whatsOnRepeat1,whatsOnTitle2,whatsOnTicketPrice2,whatsOnTheme2,whatsOnDescription2,boxOfficeTelephone2,whatsOnURL2,whatsOnStartDate2,whatsOnEndDate2,whatsOnRepeat2,whatsOnTitle3,whatsOnTicketPrice3,whatsOnTheme3,whatsOnDescription3,boxOfficeTelephone3,whatsOnURL3,whatsOnStartDate3,whatsOnEndDate3,whatsOnRepeat3,whatsOnTitle4,whatsOnTicketPrice4,whatsOnTheme4,whatsOnDescription4,boxOfficeTelephone4,whatsOnURL4,whatsOnStartDate4,whatsOnEndDate4,whatsOnRepeat4,whatsOnTitle5,whatsOnTicketPrice5,whatsOnTheme5,whatsOnDescription5,boxOfficeTelephone5,whatsOnURL5,whatsOnStartDate5,whatsOnEndDate5,whatsOnRepeat5,whatsOnTitle6,whatsOnTicketPrice6,whatsOnTheme6,whatsOnDescription6,boxOfficeTelephone6,whatsOnURL6,whatsOnStartDate6,whatsOnEndDate6,whatsOnRepeat6,whatsOnTitle7,whatsOnTicketPrice7,whatsOnTheme7,whatsOnDescription7,boxOfficeTelephone7,whatsOnURL7,whatsOnStartDate7,whatsOnEndDate7,whatsOnRepeat7,whatsOnTitle8,whatsOnTicketPrice8,whatsOnTheme8,whatsOnDescription8,boxOfficeTelephone8,whatsOnURL8,whatsOnStartDate8,whatsOnEndDate8,whatsOnRepeat8,whatsOnTitle9,whatsOnTicketPrice9,whatsOnTheme9,whatsOnDescription9,boxOfficeTelephone9,whatsOnURL9,whatsOnStartDate9,whatsOnEndDate9,whatsOnRepeat9,whatsOnTitle10,whatsOnTicketPrice10,whatsOnTheme10,whatsOnDescription10,boxOfficeTelephone10,whatsOnURL10,whatsOnStartDate10,whatsOnEndDate10,whatsOnRepeat10,whatsOnTitle11,whatsOnTicketPrice11,whatsOnTheme11,whatsOnDescription11,boxOfficeTelephone11,whatsOnURL11,whatsOnStartDate11,whatsOnEndDate11,whatsOnRepeat11,whatsOnTitle12,whatsOnTicketPrice12,whatsOnTheme12,whatsOnDescription12,boxOfficeTelephone12,whatsOnURL12,whatsOnStartDate12,whatsOnEndDate12,whatsOnRepeat12,whatsOnTitle13,whatsOnTicketPrice13,whatsOnTheme13,whatsOnDescription13,boxOfficeTelephone13,whatsOnURL13,whatsOnStartDate13,whatsOnEndDate13,whatsOnRepeat9,whatsOnTitle14,whatsOnTicketPrice14,whatsOnTheme14,whatsOnDescription14,boxOfficeTelephone14,whatsOnURL14,whatsOnStartDate14,whatsOnEndDate14,whatsOnRepeat9,whatsOnTitle15,whatsOnTicketPrice15,whatsOnTheme15,whatsOnDescription15,boxOfficeTelephone15,whatsOnURL15,whatsOnStartDate15,whatsOnEndDate15,whatsOnRepeat15,whatsOnTitle16,whatsOnTicketPrice16,whatsOnTheme16,whatsOnDescription16,boxOfficeTelephone16,whatsOnURL16,whatsOnStartDate16,whatsOnEndDate16,whatsOnRepeat16,whatsOnTitle17,whatsOnTicketPrice17,whatsOnTheme17,whatsOnDescription17,boxOfficeTelephone17,whatsOnURL17,whatsOnStartDate17,whatsOnEndDate17,whatsOnRepeat17,whatsOnTitle18,whatsOnTicketPrice18,whatsOnTheme18,whatsOnDescription18,boxOfficeTelephone18,whatsOnURL18,whatsOnStartDate18,whatsOnEndDate18,whatsOnRepeat18,whatsOnTitle19,whatsOnTicketPrice19,whatsOnTheme19,whatsOnDescription19,boxOfficeTelephone19,whatsOnURL19,whatsOnStartDate19,whatsOnEndDate19,whatsOnRepeat19,whatsOnTitle20,whatsOnTicketPrice20,whatsOnTheme20,whatsOnDescription20,boxOfficeTelephone20,whatsOnURL20,whatsOnStartDate20,whatsOnEndDate20,whatsOnRepeat20,whatsOnTitle21,whatsOnTicketPrice21,whatsOnTheme21,whatsOnDescription21,boxOfficeTelephone21,whatsOnURL21,whatsOnStartDate21,whatsOnEndDate21,whatsOnRepeat21,related
rome_sight_0055,catalogue,Aurelian Wall and Porta San Sebastiano,"<p>Most of the <strong>Aurelian Wall</strong>, begun by Emperor Aurelian (AD 270&ndash;75) and completed by his successor Probus (AD 276&ndash;82), has survived, including its largest gateway, <strong>Porta San Sebastiano</strong>. Aurelian ordered the wall&rsquo;s construction as a defence against Germanic tribes, whose raids were penetrating deeper and deeper into Italy. Some 18 km (11 miles) round, with 18 gates and 381 towers, the wall took in all the seven hills of Rome. Maxentius (AD 306&ndash;12) then raised the wall to almost twice its original height, making it near impassable. It acted as Rome&rsquo;s main defence until 1870, when it was breached by Italian artillery just by Porta Pia, close to today&rsquo;s British Embassy.</p><p>Of the Aurelian Wall’s 18 gates, many are still in use. Porta San Sebastiano is the largest and the best-preserved, having been rebuilt by Emperor Honorius in the 5th century AD. Originally the Porta Appia, after the Via Appia Antica it leads to, in Christian times it gradually became known as the Porta San Sebastiano, because the Via Appia led to the basilica and catacombs of San Sebastiano, which were popular places of pilgrimage. It was at Porta San Sebastiano that the last triumphal procession to enter the city by the Appian Way was received in state &ndash; that of Marcantonio Colonna after the victory of Lepanto over the Turkish fleet in 1571.</p><p>Today the gate&rsquo;s towers house a museum with prints and models showing the walls&rsquo; history. From here you can take a short walk along the restored walls and enjoy the spectacular views.</p>",EWTG_ROME196AURWAL,"Museo delle Mura, Via di Porta San Sebastiano 18",Rome,00179,Aventine & Caracalla,,Italy,06 0608,,,,,,,,,,,,www.museodellemuraroma.it,,,,"118, 218, 360",9am–2pm Tue–Sun (last adm: 1:30pm),,"1 Jan, 1 May, 25 Dec",FALSE,,,,,,,Admission charge,5,4,0,Under 6s free,<p>Adults &euro;5.00</p><p>Concessions &euro;4.00</p><p>Children free</p><p>Under 6s free</p>,EUR,41.873428,12.501301,TRUE,,FALSE,FALSE,Historic Sights and Landmarks,famous-landmarks,,,CARACALLA |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0056,,Avec 55,"<p>A restaurant as well as a culinary workshop; chef Raoul Reperi teaches amateur cooks how to re-create his gastronomic feats at <strong>Avec 55</strong>. Innovative, seasonal cuisine.</p>",,Via Domenico Giuliani 55 ,Rome,00019,Beyond the Centre,,Italy,07 7431 7243,,,,,,,,,,,,www.ristorante-tivoli.it,Tivoli,,,,"Tue–Sun, Tue–Sat dinner only",,Mon,,,,,,,,,,,,,<p>Free entry</p>,EUR,41.962358,12.801641,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,,Modern Italian,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0058,catalogue,Ba’Ghetto Milky,"<p><strong>Ba&rsquo;Ghetto Milky</strong> is known for its heavenly Jewish-Roman cuisine, served strictly kosher. No meat is available here; dairy is served instead. There is outdoor seating on the bustling pedestrian street.</p>",,Via del Portico D’Ottavia 2a,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,06 6830 0077,,,,,,,,,,,,www.kosherinrome.it,,,Arenula/cairoli,"63, 271, 780, 810, H, N8","Daily, Fri lunch only, Sat dinner only",,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.893087,12.47718,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,,Kosher,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0060,,Babette,"<p>Inspired by, and taking its name from, the Dutch film <em>Babette’s Feast</em>, this large and boisterous restaurant whips up innovative versions of popular dishes from around the country. Book ahead to avoid disappointment.</p>",,Via Margutta 1D,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,06 321 1559,,,,,,,,,,,,www.babetteristorante.it,Flaminio,"Flaminio, Spagna",Flaminio,"117, 119",Tue–Sun,Aug,"Mon, 24 & 25 Dec, 1 & 16 Jan",TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €30–40",,,,,<p>Free entry</p>,EUR,41.909615,12.478178,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,,Modern Italian,££,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0061,catalogue,Babington’s Tea Rooms,"<p>The august, old-fashioned <strong>Babington&rsquo;s Tea Rooms</strong> were opened by two Englishwomen to serve homesick British tourists with scones, jam and pots of Earl Grey tea. In 1896, Anna Maria and Isabel Cargill Babington came to Rome with &pound;100, intending to start a business. As Rome was full of English people, they decided to set up an authentic English tea room &ndash; at that time the only place people could buy tea in Rome was from a pharmacy! It was so successful that they soon set up another branch on St Peter&rsquo;s Square which is, however, no longer open.</p><p>Today, Babington&rsquo;s Tea Rooms is inevitably crowded with tourists, being so close to Piazza di Spagna, but the food remains homely. Try the traditional shepherd&rsquo;s pie and chicken supreme for lunch, muffins and cinnamon toast for tea &ndash; although these days the menu offers pancakes with maple syrup for breakfast as well as the classic bacon and eggs.</p>","EWTG_ROME134BABTEA, TT_ROME116PUBCAF_010, EWFG_ROME144BABTEA",Piazza di Spagna 23,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,06 678 6027,,,,,,,,,,,,www.babingtons.com,,Spagna,,"116, 117, 119 & 590",10am–9:30pm daily,,,TRUE,,,TRUE,,,,,,,,,<p>Free entry</p>,EUR,41.9058114266667,12.48273263,TRUE,,FALSE,Cafés and Bars,Cafés and Bars,food-and-drink,Babington’s Tea Rooms Rome,"Created in the 19th century for homesick British tourists, Babington’s Tea Rooms still serves up good cream teas. Plan a a visit today with DK Trip Planner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0062,,Baccano,"<p>A versatile restaurant with charming retro decor, <strong>Baccano</strong> serves up classic Italian dishes with alternative ingredients, as well as gourmet burgers and sandwiches.</p>",,Via delle Muratte 23,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,06 6994 1166,,,,,,,,,,,,www.baccanoroma.com,,Barberini,,"52, 53, 62, 63, 71, 80, 80B, 83, 85, 116, 116T, 119, 160, 160F, 175",Daily,,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €30–40",,,,,<p>Free entry</p>,EUR,41.900428,12.482341,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,,Modern Italian,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0064,catalogue,Baker’s Tomb,"<p>In the middle of the tram junction near Porta Maggiore stands the <strong>Baker&rsquo;s Tomb</strong>, the final resting place of the rich breadmaker Eurysaces and his wife Atistia. Roman custom forbade burials within city walls, and so the roads leading out of cities became lined with middle and upper class monuments and tombs like this one. Built in 30 BC, the tomb is shaped like a baking oven: a low-relief frieze at the top shows Eurysaces presiding over his slaves in the various phases of breadmaking. The inscription proudly asserts his origins and reveals him as a freed slave, probably of Greek origin. Many men like him saved money from their meagre slave salaries to earn their freedom and set up businesses, becoming the backbone of Rome&rsquo;s economy.</p>",EWTG_ROME184BAKTOM,Piazzale Labicano,Rome,00185,Esquiline & Lateran,,Italy,,,,,,,,,,,,,,Porta Maggiore,,Piazza Di Porta Maggiore,"105, 150F, 571",,,,FALSE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.891424,12.515311,FALSE,,FALSE,FALSE,Ancient Ruins,famous-landmarks,,,Ancient Sites | LATERAN |,,,"transport - tram: 3, 5, 14, 19. |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0065,catalogue,Bar San Calisto,"<p>A quiet neighbourhood watering hole, <strong>Bar San Calisto</strong> is the antithesis of the trendy Trastevere scene. Locals come here to play cards, read papers and catch up on the day&rsquo;s gossip. The atmosphere is welcoming and drinks are reasonably priced.</p>",TT_ROME146PUBCAF_003,Piazza San Calisto 3,Rome,00153,Trastevere & Janiculum Hill,,Italy,,,,,,,,,,,,,,,,Trastevere-Mastai,"115, 125,  780, H",8am–9pm daily,,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.8888901925496,12.470745,TRUE,,FALSE,FALSE,Cafés and Bars,food-and-drink,,,"Trastevere and Prati | Pubs, Cafés and Bars | Restaurant |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0066,catalogue,Barnum,"<p>Paying tribute to the world of the circus and the eponymous American showman, <strong>Barnum </strong>combines live performances with art and food.</p>",TT_ROME106NIGHTS_026_R13,Via del Pellegrino 87,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,06 6476 0483,,,,,,,,,,,,www.barnumcafe.com,,,,"30, 40, 46, 62, 64, 70, 81, 87, 116T, 186, 190F, 492, 571, 916, 916F, N5, N15, N20",8:30am–10:30pm daily,,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.89707,12.470046,TRUE,,FALSE,FALSE,Cafés and Bars,food-and-drink,,,Campo de’ Fiori to the Capitoline | Nightspots | Restaurant |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0069,catalogue,Baths of Caracalla,"<p>The most popular spa of ancient Rome, the <strong>Baths of Caracalla</strong> included exercise areas, gardens, hot and cold pools, social lounges, art centres, brothels and libraries &ndash; a true leisure centre. Completed by Emperor Caracalla in AD 217, the baths functioned for about 300 years, until the plumbing was destroyed by invading Goths. Over 1,600 bathers at a time could enjoy these luxurious <em>thermae </em>free of charge.</p><p>A Roman bath was a serious business, beginning with a sort of Turkish bath, followed by a spell in the <em>caldarium</em>, a large hot room with pools of water to provide humidity. Then came the lukewarm <em>tepidarium</em>, a visit to the large central meeting place known as the <em>frigidarium</em>, and finally a plunge into the <em>natatio</em>, an open-air Olympic-sized swimming pool. For the rich, this was followed by a rub-down with scented woollen cloth.</p><p>Surrounded by grass and umbrella pines, the Baths of Caracalla is one of the most enjoyable ancient sites in the city. The marked route through the baths has lively information boards in English and Italian and takes visitors first to the <em>apodyterium</em> (dressing room), which has remains of mosaic pavements, and then to the huge <em>frigidarium</em>. The two granite bathtubs on Piazza Farnese were once here, with water cascading out of them into what was the <em>natatio.</em> Beyond this is evidence that part of the baths was originally on two levels &ndash; there is a stairway leading to nowhere, and fragments of the upper storey&rsquo;s mosaic pavements, decorated with tritons, dolphins, cupids and marine monsters, can be seen in the grass.</p><p>Although there are remnants of mosaics dotted throughout the site, most of the rich marble decorations of the baths were removed by the Farnese family in the 16th century to adorn the interior of Palazzo Farnese. The family&rsquo;s ancient sculpture collection was also found here, including Hercules, a signed Greek original.</p>","EWTG_ROME197BATCAR, TT_ROME040ANCSIG_008_R12, TT_ROME118ANCROM_005, EWFG_ROME230BATCAR",Via delle Terme di Caracalla 52,Rome,00100 ,Aventine & Caracalla,,Italy,06 3996 7700,,,,,,,,,,,,www.coopculture.it/en/heritage.cfm?id=6,,Circo Massimo,,"118, 160, 628","9am–2pm Mon, 9am–1hr before sunset Tue–Sun",,"1 Jan, 25 Dec",TRUE,,,TRUE,TRUE,TRUE,Audio guides: €4,Admission charge,7,4,4,EU children €4,<p>Adults &euro;7.00</p><p>Concessions &euro;4.00</p><p>Children &euro;4.00</p><p>EU children €4</p>,EUR,41.88001,12.49271,FALSE,,FALSE,Ancient Ruins,"Ancient Ruins, Historic Sights and Landmarks",famous-landmarks,Baths of Caracalla Rome | Terme di Caracalla,"The Baths of Caracalla were the most popular baths of ancient Rome, functioning for about 300 years. Plan your trip to Terme di Caracalla with DK Trip Planner.",,,,,Festival di Caracalla,Tickets €18–135.00,"Seasonal and Outside, Classical and Contemporary Music, Dance","<p>Each summer, the Teatro dell&rsquo;Opera di Roma hosts a series of outdoor operas and ballets among the ruins of the Baths of Caracalla. This year&rsquo;s Caracalla Festival programme includes <em>Carmen</em>, The Tokyo Ballet, <em>Swan Lake</em>, <em>La Boheme</em>, <em>The Barber of Seville</em> and Robert Bolle and Friends.</p>",06 48 16 02 55,www.operaroma.it/ita/caracalla.php,24th June 2014,9th August 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piazza Farnese
rome_sight_0070,catalogue,Baths of Diocletian and Aula Ottagona,"<p>Built in AD 298&ndash;306 under the infamous Emperor Diocletian, who murdered thousands of Christians, the <strong>Baths of Diocletian</strong> were the most extensive in Rome and could accommodate up to 3,000 bathers at a time.</p><p>A large section of this huge complex is now part of the <strong>Museo Nazionale Romano</strong> and houses an excellent archaeological museum. It holds a vast collection of inscriptions, stele (funeral stones) and Roman statues, including a marble sculpture of Mithras that still retains its gold leaf and paint. The most atmospheric branch of the museum, the <strong>Aula Ottagona</strong> (open for special events only), features two 2nd-century BC bronze sculptures of great beauty, which were discovered lovingly hidden in a trench 6 m (20 ft) below the concrete floor of the Temple of the Sun, on the steep hillside of the Quirinal. The complex incorporates the former Carthusian monastery of Santa Maria degli Angeli, which has a beautiful cloister designed by Michelangelo.</p>","EWTG_ROME163BATDIO, TT_ROME040ANCSIG_006, TT_ROME132QUIVIA_024_R13, TT_ROME132QUIVIA_023_R13","Terme di Diocleziano, Viale Enrico de Nicola 79",Rome,00185,Piazza di Spagna & Trevi Fountain,,Italy,06 3996 7700,,,,,,,,,,,,www.archeoroma.beniculturali.it/en/museums/national-roman-museum-baths-diocletian,,"Repubblica, Termini",,"36, 60, 61, 62, 82, 84, 90, 492",<p><strong>Baths of Diocletian</strong>: 9am–7:45pm Tue–Sun</p><p><strong>Aula Ottagona</strong>: for exhibitions only</p>,,"Mon, 1 Jan, 25 Dec",TRUE,,,,,,,"Single ticket valid for 3 days at 4 sites (Palazzo Massimo, Palazzo Altemps, Crypta Balbi, Baths of Diocletian)",7,3.50,0,€3.50 for for European Union citizens ages 18 to 24 and for European Union teachers with tenure; free for EU citizens under 18 and over 65,<p>Adults &euro;7.00</p><p>Concessions &euro;3.50</p><p>Children free</p><p>€3.50 for for European Union citizens ages 18 to 24 and for European Union teachers with tenure; free for EU citizens under 18 and over 65</p>,EUR,41.904265,12.498513,TRUE,,FALSE,Ancient Ruins,"Ancient Ruins, Historic Sights and Landmarks",famous-landmarks,Baths of Diocletian Rome,"The Baths of Diocletian and Aula Ottagona are ancient baths in Rome that once accommodated up to 3,000 bathers. Plan a trip to the Baths of Diocletian here.",,,,,"Rodin. Il Marmo, la Vita",Tickets €10.00,Art Shows and Exhibitions,"<p>&ldquo;Rodin: The Marble, the Life&rdquo; is dedicated to French sculptor Auguste Rodin, with a presentation of more than 60 marble sculptures, the most complete exhibition of his works yet. The three sections of the exhibit include his sensual pieces, his more mature pieces and his poetically &ldquo;incomplete&rdquo; pieces.</p>",06 0608,www.coopculture.it/events.cfm?id=199,18th February 2014,25th May 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palazzo Massimo alle Terme, Palazzo Altemps, Crypta Balbi"
rome_sight_0071,catalogue,Benucci,"<p>Heavy-duty art and antiques of the type more usually found in museums, plus beautiful furnishings inlaid in mother-of-pearl and hardwoods are on sale at <strong>Benucci</strong>. Expect to find 15th-century Roman and Florentine Virgin and Childs, and works by artists such as Luca Giordano and Fra&rsquo; Bartolomeo here.</p>",TT_ROME113ARTANT_002,Via del Babuino 150C,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,06 3600 2190,,,,,,,,,,,,www.galleriabenucci.it,,Spagna,,"117, 119",10am–1pm & 4–7pm daily,,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.907861,12.479666,TRUE,,FALSE,FALSE,Shopping,shopping,,,The Spanish Steps and Villa Borghese | Art and Antiques Shops | Shopping |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0073,,Bibenda Wine Concept,<p><strong>Bibenda Wine Concept</strong> is the official wine bar of Rome’s most important sommelier academy. There are lots of tasty snacks on hand to pair with a glass of white or red.</p>,,Via Capo d’Africa,Rome,00184,Esquiline & Lateran,,Italy,06 7720 6673,,,,,,,,,,,,www.wineconcept.it,,Colosseo,Piazza del Colosseo,"81, 117, 673",Mon–Sat,,Sun,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.888844,12.494914,TRUE,,FALSE,FALSE,"Food and Drink, Cafés and Bars",food-and-drink,,,,Enoteche,£,,Wine Events,Tickets €25.00–35.00,Food and Drink,<p>Bibenda Wine Concept organizes occasional wine tastings with a professional sommelier (also in English) and live music evenings.</p>,06 7720 6673,www.wineconcept.it/eng/eventi.php,13th March 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0074,catalogue,Big Hilda Café,"<p><strong>Big Hilda Caf&eacute;</strong> is a welcoming joint offering rock &lsquo;n&rsquo; roll, cheap drinks and a range of sandwiches and salads.</p>",TT_ROME146PUBCAF_005,Vicolo Del Cinque 33–4,Rome,00153,Trastevere & Janiculum Hill,,Italy,06 580 3303,,,,,,,,,,,,,,,Belli,"23, 125, 271, 280, N11",Daily,,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.8911729653922,12.4699151963159,TRUE,,FALSE,FALSE,Cafés and Bars,food-and-drink,,,"Trastevere and Prati | Pubs, Cafés and Bars | Restaurant |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0075,catalogue,Big Mama,"<p>A historic jazz, rock, blues and world music venue, <strong>Big Mama</strong> is set in the Trastevere district of Rome. Big names and smaller acts perform live every night.</p>",,Vicolo San Francesco a Ripa 18,Rome,00153,Trastevere & Janiculum Hill,,Italy,06 581 2551,,,,,,,,,,,,www.bigmama.it,,,Induno,"75, 125, 170",9pm–1:30am,,,FALSE,,,,,,,,,,,,,EUR,41.8858201544138,12.4719730876427,TRUE,,FALSE,FALSE,Entertainment and Nightlife,,,,,,,,Live music,Free,Classical and Contemporary Music,"<p>Nightly blues, jazz, rock and ethnic concerts, as well performances from up-and-coming singer-songwriters.</p>",06 581 2551,www.bigmama.it,26th September 2013,15th June 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
