poiID,starSite,xmlID,Image to include,assetName,SEO file name,credit,caption,type,info,labelID,cutawayNumber,title,description,imageID,highlights,imageName,leftPosition,topPosition
sanfrancisco_sight_0019,Alcatraz Island,,TRUE,AL1024138,alcatraz_inside_cell_san_francisco_dk_AL1024138.jpg,&#169;dkimages,,cutaway,from AL,,2,Inside a Cell,"<p>Prisoners spent between 16 and 23 hours every day alone in dark cells, equipped with only a toilet and bunk. Many cells measured 5 ft by 9 ft (1.5 m by 2.7 m).</p>",,,alcatraz_inside_cell_san_francisco_dk_AL1024138,39.4,56.1
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_drip_chamber.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,1,,Drip Chamber,<p>Visitors can see unique shapes and patterns created by light rays passing through droplets of glycerine in a rotating chamber.</p>,,,exploratorium_san_francisco_drip_chamber,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_all_eyes_on_me.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,2,,All Eyes on Me,<p>This exhibit showcases a mosaic of tiny mirrors that reflect the viewer’s own eyes.</p>,,,exploratorium_san_francisco_all_eyes_on_me,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_water_drop.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,3,,Water Drop,"<p>This quirky display, located in one of the connector galleries, provides hands-on experience in using the flash in high-speed photography.</p>",,,exploratorium_san_francisco_water_drop,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_zebra_fish.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,4,,Zebra Fish,<p>Developing zebra fish embryos are on display at the microscope imaging station located in the East Gallery.</p>,,,exploratorium_san_francisco_zebra_fish,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_rs_pendulum123.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,5,,Chaotic Pendulum,<p>Twisting the knob at this exhibit reveals the pendulum’s motion to be unpredictable and extremely complicated.</p>,,,exploratorium_san_francisco_rs_pendulum123,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_fathers_nose.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,6,,Your Father’s Nose,<p>Two people can view each other from opposite sides of a paneled mirror and see a composite of their own face in this fun exhibit exploring perceptions and genetics.</p>,,,exploratorium_san_francisco_fathers_nose,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_bay_window2.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,,7,,Bay Windows,"<p>Spinning disks filled with samples of bay water, mud, and sand show visitors more about the movement and settling characteristics of bay sediments.</p>",,,exploratorium_san_francisco_bay_window2,,
sanfrancisco_sight_0276,Exploratorium,,TRUE,,exploratorium_san_francisco_observatory3.jpg,"&#169;Exploratorium, www.exploratorium.edu",,gallery,qtran@exploratorium.edu,8,,Bay Observatory Gallery,"<p>The Exploratorium is located at Pier 15, and this gallery affords incredible views of the Bay and the Golden Gate Bridge.</p>",,,exploratorium_san_francisco_observatory3,,
sanfrancisco_sight_0179,Chinatown,,TRUE,AL1024080,chinatown_pacific_avenue_san_francisco_dk_AL1024080.jpg,&#169;dkimages,pacific avenue bustle,gallery,,,,Stockton Street,<p>This bustling street runs through the heart of Chinatown.</p>,,,chinatown_pacific_avenue_san_francisco_dk_AL1024080,,
sanfrancisco_sight_0179,Chinatown,,TRUE,AL1023699,chinatown_chinese_new_year_parade_san_francisco_dk_AL1023699.jpg,&#169;dkimages,Chinese new year parade,gallery,,,,Dancing Dragon,<p>Dragons dance along the streets of Chinatown at Chinese New Year.</p>,,,chinatown_chinese_new_year_parade_san_francisco_dk_AL1023699,,
sanfrancisco_sight_0179,Chinatown,,TRUE,AL1024076,chinatown_statue_san_francisco_dk_AL1024076.jpg,&#169;dkimages,statue on Pacific Avenue,gallery,,,,Chinese Statue,<p>A typical Chinese statue on Pacific Avenue.</p>,,,chinatown_statue_san_francisco_dk_AL1024076,,
sanfrancisco_sight_0179,Chinatown,,TRUE,AL1023868,chinatown_tin_how_temple_san_francisco_dk_AL1023868.jpg,&#169;dkimages,tin how temple,gallery,,,,Tin How Temple,<p>Hundreds of red and gold lanterns hang from the ceiling of this tranquil temple.</p>,,,chinatown_tin_how_temple_san_francisco_dk_AL1023868,,
sanfrancisco_sight_0365,Grace Cathedral,,TRUE,,grace_cathedral_san_francisco_artwork.jpg,&#169;dkimages,,cutaway-artwork,,,1,,,,,grace_cathedral_san_francisco_artwork,,
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_005,FALSE,,,,,cutaway,,,1,New Testament Window,"<p>The theme of this window is brotherhood and the church. Christ stands with a welcoming gesture, with His disciples flanking.</p>",,,#VALUE!,26.2,65.2
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_002,FALSE,,,,,cutaway,,,1,Rose Window,"<p>This 25-ft (8-m) work of faceted glass symbolizes the themes of the Canticle of the Sun, a famous devotional poem written by St. Francis of Assisi.</p>",,,#VALUE!,81.9,70.5
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_001,TRUE,AL585845,grace_cathedral_carillon_tower_san_francisco_dk_AL585845.jpg,&#169;dkimages,,cutaway,,,1,Carillon Tower,"<p>The belfry contains a carillon of 44 bronze bells, cast in England in 1938. The bourdon bell, which tolls the hour, is the largest European-style bell in the US. Many of the bells have evocative names, such as Loving Kindness and Joy to the World.</p>",,,grace_cathedral_carillon_tower_san_francisco_dk_AL585845,90.5,51.8
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_004,TRUE,AL202982,grace_cathedral_doors_of_paradise_san_francisco_dk_AL202982.jpg,&#169;dkimages,,cutaway,,,1,Doors of Paradise,"<p>The cathedral doors are bronze-and-gold-plate replicas of the ones made for the Baptistry in Florence, Italy. The 10 panels depict Old Testament stories, beginning at the top left with Adam and Eve.</p>",,,grace_cathedral_doors_of_paradise_san_francisco_dk_AL202982,75.5,88.3
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_003,TRUE,AL202976,grace_cathedral_chapel_of_grace_san_francisco_dk_AL202976.jpg,&#169;dkimages,,cutaway,,,1,Chapel of Grace,"<p>This chapel was the first completed unit of the cathedral (1930). Its architecture, windows, and apse mural were inspired by the royal Sainte Chapelle in Paris. Its furnishings are a mix of ages and origins, including the medieval French stone altar, the 17th-century German altar cross, the English Gothic prayer desk, and the painting of the Madonna and Child inspired by Italian Renaissance artist Giovanni Bellini.</p>",,,grace_cathedral_chapel_of_grace_san_francisco_dk_AL202976,11.2,66.1
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_009_R13,TRUE,ABMJDA,grace_cathedral_san_francisco_interfaith_labyrinth_alamy_ABMJDA.jpg,&#169;Alamy Images/david sanger photography," San Francisco, Grace Cathedral, Labyrinth",gallery,,1,,Interfaith Labyrinth,<p>The Interfaith Outdoor Labyrinth is a replica of the one at Chartres Cathedral in France. Such labyrinths were used in medieval times to mimic the arduous pilgrimage to Jerusalem; today the practice has been revived.</p>,,,grace_cathedral_san_francisco_interfaith_labyrinth_alamy_ABMJDA,,
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_007,TRUE,AL202979,grace_cathedral_keith_harings_altarpiece_san_francisco_dk_AL202979.jpg,&#169;dkimages,,gallery,,2,,Keith Haring’s Altarpiece,"<p>The AIDS Interfaith Memorial Chapel contains a triptych altarpiece of bronze and white gold by the New York artist Keith Haring. It was completed shortly before his own death from AIDS. The central panel shows a multi-armed figure of compassion, while the side panels depict winged souls soaring above.</p>",,,grace_cathedral_keith_harings_altarpiece_san_francisco_dk_AL202979,,
sanfrancisco_sight_0365,Grace Cathedral,TT_SANFRA024GRACAT_010_R12,TRUE,AL202981,grace_cathedral_st_francis_assisi_san_francisco_dk_AL202981.jpg,&#169;dkimages,,gallery,,3,,Bufano St. Francis of Assisi,<p>Just beyond the entrance is an appealing statue of St. Francis of Assisi by the late San Franciscan sculptor Beniamino Bufano.</p>,,,grace_cathedral_st_francis_assisi_san_francisco_dk_AL202981,,
sanfrancisco_sight_0365,Grace Cathedral,,TRUE,149279435,grace_cathedral_san_francisco_fresco_149279435.jpg,&#169;Getty Images/Superstock/Bruce Byers ,"California, San Francisco, Grace Cathedral, fresco",gallery,,4,,Fresco,"<p>One of a series of historical aisle frescoes by Jan Henryk de Rosen, this mural was painted between 1949&ndash;50 and composed in a style blending elements of the early Italian masters Giotto and Mantegna.</p>",,,grace_cathedral_san_francisco_fresco_149279435,,
sanfrancisco_sight_0365,Grace Cathedral,,TRUE,91295180,grace_cathedral_san_francisco_interior_getty_91295180.jpg,&#169;Getty Images/Flickr/Mathew Spolin ,A labyrinth between enormous pillars and stained glass windows defines the interior of Grace Cathedral ,gallery,,5,,Labyrinth,<p>A labyrinth between enormous pillars and stained-glass windows defines the interior of Grace Cathedral.</p>,,,grace_cathedral_san_francisco_interior_getty_91295180,,
sanfrancisco_sight_0365,Grace Cathedral,,TRUE,AL558005,grace_cathedral_stained_glass_san_francisco_dk_AL558005.jpg,&#169;dkimages,stained glass,gallery,,6,,Stained Glass,"<p>The cathedral contains 7,290 sq ft (677 sq m) of stained-glass windows by noted artists that depict more than 1,100 figures ranging from Adam and Eve to Albert Einstein.</p>",,,grace_cathedral_stained_glass_san_francisco_dk_AL558005,,
sanfrancisco_sight_0523,Mission Dolores,,TRUE,,mission_dolores_san_francisco_artwork.jpg,&#169;dkimages,,cutaway-artwork,needs work,,1,,,,,mission_dolores_san_francisco_artwork,,
sanfrancisco_sight_0523,Mission Dolores,,TRUE,AL203012,mission_dolores_the_mission_cemetery_san_francisco_dk_AL203012.jpg,&#169;dkimages,,cutaway,,,1,The Mission Cemetery,"<p>Originally, the cemetery extended across many streets. The earliest wooden grave markers have disintegrated, but a more recent marker honors two Native Americans who were baptized, married, and buried here.</p>",,,mission_dolores_the_mission_cemetery_san_francisco_dk_AL203012,29.5,48.6
sanfrancisco_sight_0523,Mission Dolores,,TRUE,AL203228,mission_dolores_statue_of_father_junipero_serra_san_francisco_dk_AL203228.jpg,&#169;dkimages,,cutaway,,,1,Statue of Father Junipero Serra,<p>Father Junipero Serra was the founder of the mission. This statue is a copy of the work of local sculptor Arthur Putman.</p>,,,mission_dolores_statue_of_father_junipero_serra_san_francisco_dk_AL203228,50,51.6
sanfrancisco_sight_0523,Mission Dolores,,FALSE,,,,,cutaway,,,1,Ceramic Mural,"<p>This was created by Guillermo Granzio, a native San Francisco artist.</p>",,,#VALUE!,53.1,15.8
sanfrancisco_sight_0523,Mission Dolores,,FALSE,AL557895,mission_dolores_altarpiece_san_francisco_dk_AL557895.jpg,&#169;dkimages,,cutaway,,,1,Altarpiece,<p>This painted and gilded altarpiece was imported from Mexico in 1797.</p>,,,mission_dolores_altarpiece_san_francisco_dk_AL557895,59.4,32.1
sanfrancisco_sight_0523,Mission Dolores,TT_SANFRA030MISDOL_006,TRUE,AL557653,mission_dolores_mission_facade_san_francisco_dk_AL557653.jpg,&#169;dkimages,,cutaway,,,1,Mission Façade,"<p>The modest white fa&ccedil;ade of the chapel is typical of the Mission Style. Its four columns support niches for three bronze bells, which are inscribed with their names and dates. They were added to the mission in the late 18th century.</p>",,,mission_dolores_mission_facade_san_francisco_dk_AL557653,88.2,60.9
sanfrancisco_sight_0523,Mission Dolores,TT_SANFRA030MISDOL_004,FALSE,,,,,cutaway,,,1,Beamed Ceiling Decoration,<p>The imaginative painted ceiling design derives from Ohlone basketry.</p>,,,#VALUE!,82.7,55.4
sanfrancisco_sight_0523,Mission Dolores,TT_SANFRA030MISDOL_005_R13,FALSE,,,,,cutaway,chochenyo@aol.com,,1,Diorama and Museum,<p>Just outside the chapel is a diorama showing what life was like at the mission 200 years ago. A museum at the back of the chapel contains artifacts and reproductions of Indian life.</p>,,,#VALUE!,55,22.5
sanfrancisco_sight_0523,Mission Dolores,TT_SANFRA030MISDOL_002,TRUE,AL203000,mission_dolores_chapel_san_francisco_dk_AL203000.jpg,&#169;dkimages,,gallery,,1,,Altarpieces,"<p>The hand-carved, gilded and painted wooden reredos and side altars were brought from Mexico in the late 1700s and early 1800s.</p>",,,mission_dolores_chapel_san_francisco_dk_AL203000,,
sanfrancisco_sight_0523,Mission Dolores,TT_SANFRA030MISDOL_008,TRUE,8128033,mission_dolores_san_francisco_choir_windows_st_francis_dreamstime_8128033.jpg,&#169;Dreamstime.com/William Perry ,Saint Francis De Assis Stained Glass Mission Dolores Saint Francis Papel Insigna Symbol ,gallery,,2,,Choir Windows of St. Francis,"<p>At the rear of the basilica, jewel-like stained-glass windows depict scenes from the life of St. Francis of Assisi, revolutionary patron saint of San Francisco. The lower side windows depict the 21 California Missions.</p>",,,mission_dolores_san_francisco_choir_windows_st_francis_dreamstime_8128033,,
sanfrancisco_sight_0523,Mission Dolores,TT_SANFRA030MISDOL_027_R12,TRUE,AL203018,mission_dolores_stations_of_the_cross_san_francisco_dk_AL203018.jpg,&#169;dkimages,,gallery,,3,,Stations of the Cross,"<p>These images depicting each of the 14 Stations of the Cross, and located throughout the Basilica, were created by the artisan Samuel Berger.</p>",,,mission_dolores_stations_of_the_cross_san_francisco_dk_AL203018,,
sanfrancisco_sight_0355,Golden Gate Park,,TRUE,AL365548,golden_gate_park_conservatory_of_flowers_san_francisco_dk_AL365548.jpg,&#169;dkimages,Conservatory of Flowers,gallery,,1,,Conservatory of Flowers,"<p>This ornate glasshouse is home to a jungle of orchids, ferns, and palms.</p>",,,golden_gate_park_conservatory_of_flowers_san_francisco_dk_AL365548,,
sanfrancisco_sight_0355,Golden Gate Park,,TRUE,AL1023664,golden_gate_park_japanese_tea_garden_san_francisco_dk_AL1023664.jpg,&#169;dkimages,Japanese tea garden,gallery,,2,,Japanese Tea Garden,"<p>This exquisite garden, with its well-tended plants, is one of the most attractive parts of the park.</p>",,,golden_gate_park_japanese_tea_garden_san_francisco_dk_AL1023664,,
sanfrancisco_sight_0355,Golden Gate Park,,TRUE,AL472070,golden_gate_park_windmill_san_francisco_dk_AL472070.jpg,&#169;dkimages,windmill,gallery,,3,,Dutch Windmill,"<p>This windmill was built in 1903 in the northwest corner of the park, and was intended to pump water to irrigate the land.</p>",,,golden_gate_park_windmill_san_francisco_dk_AL472070,,
sanfrancisco_sight_0355,Golden Gate Park,,TRUE,AL616662,golden_gate_park_buffalo_paddock_san_francisco_dk_AL616662.jpg,&#169;dkimages,buffalo paddock,gallery,,4,,Buffalo Paddock,<p>Buffalo have been grazing in the park since 1892.</p>,,,golden_gate_park_buffalo_paddock_san_francisco_dk_AL616662,,
sanfrancisco_sight_0355,Golden Gate Park,,TRUE,AL557945,golden_gate_park_golf_san_francisco_dk_AL557945.jpg,&#169;dkimages,golf,gallery,,5,,Golf Course,<p>The park’s golf course affords breathtaking views of the Golden Gate Bridge.</p>,,,golden_gate_park_golf_san_francisco_dk_AL557945,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_morrison_planetarium.jpg,&#169;California Academy of Sciences/Tim Griffith,,gallery,,1,,Morrison Planetarium,"<p>Embark on a guided tour of the universe. The night skies never looked more real, and you can travel to the very limits of the known universe with high-tech exhibits and technology including an all-digital dome. Shows are presented daily.</p>",,,california_academy_sciences_san_francisco_morrison_planetarium,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_rainforest_interior_3.jpg,&#169;California Academy of Sciences/Tim Griffith,,gallery,,2,,Rainforests of the World,"<p>Visitors can experience four diverse rainforest environments in an enormous glass dome: the Amazonian Flooded Forest, the Borneo Forest Floor, the Madagascar Rainforest Understory, and the Costa Rica Rainforest Canopy. This includes hundreds of tropical plants and a diverse range of creatures: piranhas, flying lizards, poison-dart frogs, parrots, chameleons, and butterflies.</p>",,,california_academy_sciences_san_francisco_rainforest_interior_3,,
sanfrancisco_sight_0138,California Academy of Sciences,TT_SANFRA022CALACA_010_R12,TRUE,,california_academy_sciences_san_francisco_living_roof_2.jpg,&#169;California Academy of Sciences/Tim Griffith,,gallery,,3,,The Living Roof,"<p>The museum is topped with a 2.5-acre (1-ha) living roof, planted with more than 1.7 million native Californian plants. Take an elevator up to the rooftop deck to enjoy the views and learn about the benefits of sustainable architecture.</p>",,,california_academy_sciences_san_francisco_living_roof_2,,
sanfrancisco_sight_0138,California Academy of Sciences,TT_SANFRA022CALACA_006_R12,TRUE,,california_academy_sciences_san_francisco_coast_surface.jpg,&#169;California Academy of Sciences/Chris Picon,,gallery,,4,,California Coast Tank,"<p>Explore habitats from salt marshes to turbulent rocky inlets and meet a variety of native fish and invertebrates. The main tank &ndash; an exhibit featuring the marine habitats of the Gulf of the Farollones National Marine Sanctuary &ndash; is 100,000 gallons in capacity, with large viewing windows, and a crashing wave surge system.</p>",,,california_academy_sciences_san_francisco_coast_surface,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_front_entrance.jpg,&#169;California Academy of Sciences/Tim Griffith,see folder on server with captions,gallery,,5,,Front Entrance,<p>There is space to sit and admire the museum’s modern building outside the front entrance.</p>,,,california_academy_sciences_san_francisco_front_entrance,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_front_entry_sphere.jpg,&#169;California Academy of Sciences,see folder on server with captions,gallery,,6,,Entrance,<p>Visitors enter the museum through a dramatic crack in a 25-ft- (7.5-m-) diameter model of the Earth.</p>,,,california_academy_sciences_san_francisco_front_entry_sphere,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_fishtank.jpg,&#169;California Academy of Sciences/Anthony Gordon,see folder on server with captions,gallery,,7,,The Water Planet,"<p>Dozens of tanks and a range of interactive media are used to inform all ages about what it takes to survive under water. A variety of fish, reptiles, amphibians, and insects are on display.</p>",,,california_academy_sciences_san_francisco_fishtank,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_naturalist_center.jpg,&#169;California Academy of Sciences/Tim Griffith,see folder on server with captions,gallery,,8,,The Naturalist Center,"<p>Located on floor 3, this is a resource for visitors with questions about the natural world.</p>",,,california_academy_sciences_san_francisco_naturalist_center,,
sanfrancisco_sight_0138,California Academy of Sciences,,TRUE,,california_academy_sciences_san_francisco_japanese_nettles.jpg,&#169;California Academy of Sciences,see folder on server with captions,gallery,,9,,Japanese Nettles,<p>Visitors can find out at the museum how these intriguing jellyfish reproduce.</p>,,,california_academy_sciences_san_francisco_japanese_nettles,,
sanfrancisco_sight_0577,Oakland Museum of California,,TRUE,,oakland_museum_california_san_francisco_california_crafts.jpg,&#169;Courtesy of the Oakland Museum of California/Greg Habiby,,gallery,,1,,California Crafts,"The largest collection of decorative work, including murals and furniture, by California Arts and Crafts practitioners Arthur and Lucia Kleinhaus Mathews.",,,oakland_museum_california_san_francisco_california_crafts,,
