poiID,starSite,xmlID,city,Image to include,SEO file name,number,source,photographer,agency description,credit,caption,type,labelID,cutawayNumber,title,description,imageID,highlights,imageName,leftPosition,topPosition,info
,Palacio Real,EWTG_MADRID060EXPPAL_007,madrid,TRUE,palacio_real_carlos_iii_rooms_madrid_dk_order_at885p266pos_tl,"order AT885, p266, pos TL",dk,,,,,findOutMore,,,Carlos III rooms,"Leading off from the throne room are three smaller halls named after Mattia Gasparini, the original decorator. These were the king’s private chambers. He would take his meals in the Sala de Gasparini – lonely affairs considering the queen had her own dining room. The Antecámara de Gasparini contains four paintings by Goya of Carlos IV and María Luisa de Parma. In the Cámara de Gasparini the king would be dressed, usually in the presence of courtiers. This is the only room to retain its original decor – Rococo and oriental, with a stucco ceiling and embroidered silk walls. | A small room, the Tranvía de Carlos III, leads into the former bedroom of Carlos III. In the Baroque Sala de Porcelana (Porcelain Room), 18th-century porcelain from the Buen Retiro factory covers the walls. The Salita Amarilla (Yellow Room), named after the tapestry covering the walls, leads to the Gala Dining Hall. |",,,,,,to be ordered from archive
,Palacio Real,EWTG_MADRID060EXPPAL_009,madrid,TRUE,palacio_real_dining_room_madrid_dk_order_at885p266pos_cl,"order AT885, p266, pos CL",dk,,,,,findOutMore,,,Dining room,"This 400-sq m (4,300-sq ft) banquet hall was formed in 1879 when the queen’s private chambers were joined together, during the reign of Alfonso XII. It is richly adorned with gold plate decoration on the ceiling and walls, frescoes, chandeliers, Flemish tapestries, Chinese vases and embroidered curtains. The table can accommodate up to 160 diners. | The rooms leading off from the dining room house exhibits of royal household possessions. The room immediately off the dining hall is devoted to commemorative medals, and also contains the elaborate centrepiece used during banquets. Other rooms contain the silverware, china, crystal, and an extraordinary collection of musical instruments, including unique Stradivarius examples. |",,,,,,to be ordered from archive
,Palacio Real,EWTG_MADRID060EXPPAL_011,madrid,TRUE,palacio_real_chapel_rooms_madrid_alamy_acakkf,ACAKKF,Alamy,Peter Titmuss,Palacio Real. The Royal Palace central Madrid Spain Europe EU. The Chapel,&#169;Alamy Images/Peter Titmuss,Chapel rooms at the Palacio Real,findOutMore,,,Chapel rooms,"<p>Built in 1749&ndash;57, the chapel is still used for religious services, and also for musical soir&eacute;es. While the decor is luxurious, it is the dome, with its murals by Giaquinto, that immediately catches the eye.</p><p>After the chapel, visitors pass through the Sal&oacute;n de Paso and into Mar&iacute;a Cristina&rsquo;s chambers (originally Carlos IV rooms). During the reign of Alfonso XII these four small rooms served as an American-style billiards room, Oriental-style smoking room, the Sal&oacute;n de Estucos (queen&rsquo;s bedroom), and the Gabinete de Maderas de Indias, used as an office.</p>",,,,,,
,Palacio Real,EWTG_MADRID060EXPPAL_012,madrid,TRUE,palacio_real_pharmacy_armoury_madrid_dk_al562686,AL562686,dk,,,&#169;dkimages,,findOutMore,,,Pharmacy and armoury,"Returning to the Plaza de Armas, near the ticket office is the Real Farmacia (Royal Pharmacy) founded by Felipe II in 1594. The pharmacy is a warren of rooms, with jars and vials bearing the names of different potions and medicinal plants. | On the other side of the plaza is the Real Armería (Royal Armoury), housed in a pavilion built in 1897 after the original armoury was destroyed by fire. It contains weapons and royal suits of armour. On display is an elaborate suit of armour which once belonged to Carlos I, the Holy Roman Emperor Charles V. The armoury could be considered as Madrid’s first museum because it has been open to the public since Felipe II inherited the collection from his father. It originally contained weapons used by Spanish kings and those from defeated enemy armies. |",,,,,,
,Palacio Real,TT_MADRID008PALREA_001,madrid,TRUE,palacio_real_fa_ade_madrid_dk_al384357,AL384357,dk,,,&#169;dkimages,,gallery,,,Façade,"<p>Stand for a few moments on Plaza de Oriente to enjoy the splendour of Sacchetti&rsquo;s fa&ccedil;ade, gleaming in the sun. Sacchetti achieved a rhythm by alternating Ionic columns with Tuscan pilasters.</p>",,,,,,
,Palacio Real,TT_MADRID008PALREA_002,madrid,TRUE,palacio_real_main_staircase_madrid_rhpl_746_69184,746-69184,RHPL,Alessio Mamo,"Palacio Real, Madrid, Spain, Europe",&#169;Robert Harding Picture Library/Alessio Mamo,,gallery,,,Main Staircase,"<p>When Napoleon first saw the staircase after installing his brother on the Spanish throne, he said &ldquo;Joseph, your lodgings will be better than mine&rdquo;, owing to Corrado Giaquinto&rsquo;s fine frescoes.</p>",,,,,,asked dam@patrimonionacional.es
,Palacio Real,TT_MADRID008PALREA_009,madrid,TRUE,palacio_real_royal_armoury_madrid_alamy_a7mdw0,A7MDW0,Alamy,PhotoDreams,royal armoury royal palace Madrid Spain Europe,&#169;Alamy Images/PhotoDreams,,gallery,,,Royal Armoury,"<p>The royal armoury has been open to the public for more than 400 years. It boasts more than 2,000 pieces, mostly made for jousts and tournaments rather than the battlefield.</p>",,,,,,asked dam@patrimonionacional.es
,Palacio Real,TT_MADRID008PALREA_010,madrid,TRUE,palacio_real_campo_del_moro_madrid_dk_al384358,AL384358,dk,,,&#169;dkimages,,gallery,,,Campo del Moro,"<p>These beautiful gardens were landscaped in the 19th century and planted with acacias, chestnuts, magnolias, cedars and palms. Stand on the avenue and you&rsquo;ll be rewarded with views of the palace&rsquo;s fa&ccedil;ade.</p>",,,,,,
,Palacio Real,TT_MADRID010ARTTRE_010,madrid,TRUE,palacio_real_grandeur_power_the_spanish_monarchy_madrid_alamy_b9n4en,B9N4EN,Alamy,Hervé Hughes,"Spain, Madrid, Royal Palace of Madrid (Palacio Real), ceiling in trompe-l'œil of the throne room",&#169;Alamy Images//hemis.fr/Hervé Hughes,,gallery,,,Grandeur and Power of the Spanish Monarchy,<p>Giambattista Tiepolo&rsquo;s frescoes in the Throne Room are a tour de force. Marginal figures represent Spain&rsquo;s overseas possessions.</p>,,,,,,asked dam@patrimonionacional.es
,,,,,,,,,,,,,,,,,,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID074MUSTHY_007,madrid,TRUE,museo_thyssen_bornemisza_venus_cupid_madrid,,,,"350 (1957.5) RUBENS, Peter Paul, Venus and Cupid, c. 1606-1611, Oil on canvas. 137 x 111 cm","&#169;Museo Thyssen-Bornemisza, Madrid",,gallery,,,<em>Venus and Cupid</em> (1606–11) by Peter Paul Rubens,<p>This reflection of ideal beauty was painted by the Flemish master Rubens between 1606 and 1611. The picture illustrates his luscious use of colour and form.</p>,,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID074MUSTHY_008,madrid,TRUE,museo_thyssen_bornemisza_st_casildac_1630_35madrid,,,,"448 (1979.26) ZURBARÁN, Francisco de Santa Casilda, c. 1640-1645 Oil on canvas. 171 x 107 cm ","&#169;Museo Thyssen-Bornemisza, Madrid",,gallery,,,<em>St Casilda</em> (c.1630–35) by Francisco de Zurbarán,"<p>Francisco de Zurbar&aacute;n, best known for his depiction of monks in white habits, also painted saints. Here, St Casilda&rsquo;s robe stands out against the plain background.</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID074MUSTHY_009,madrid,TRUE,museo_thyssen_bornemisza_mata_mua_madrid,,,,"(CTB.1984.8), GAUGUIN, Paul, Mata Mua (In Olden Times),1892, Oil on canvas. 91 x 69 cm",&#169;Colección Carmen Thyssen-Bornemisza on loan from the Museo Thyssen-Bornemisza,,gallery,,,<em>Mata Mua</em> (1892) by ,"<p>Painted in 1892, during his stay on the Marquesas Islands, Gauguin&rsquo;s colourful depiction of a Tahitian paradise is one of his most highly regarded works of this period.</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID074MUSTHY_012,madrid,TRUE,museo_thyssen_bornemisza_hotel_room1931madrid,,,,"594 (1977.110), HOPPER, Edward, Hotel Room,1931, Oil on canvas. 152,4 x 165,7 cm, ","&#169;Museo Thyssen-Bornemisza, Madrid",,gallery,,,<em>Hotel Room</em> (1931) by Edward Hopper,<p>Edward Hopper&rsquo;s painting is a study of urban isolation. The solitude is made less static by the suitcases and the train timetable on the woman&rsquo;s knee.</p>,,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID074MUSTHY_014,madrid,TRUE,museo_thyssen_bornemisza_our_lady_the_dry_treec_1465madrid,,,,"121 (1965.10), CHRISTUS, Petrus, Our Lady of the Dry Tree, c. 1450, Oil on panel. 17,4 x 12,3 cm","&#169;Museo Thyssen-Bornemisza, Madrid",,gallery,,,<em>Our Lady of the Dry Tree</em> (c.1465) by Petrus Christus,<p>This tiny painted panel is by Bruges master Petrus Christus. The letter A hanging from the tree stands for &ldquo;Ave Maria&rdquo;.</p>,,,,,,
,Museo Thyssen-Bornemisza,TT_MADRID024MUSTHY_008,madrid,TRUE,museo_thyssen_bornemisza_portrait_a_young_man_madrid,,,,"330 (1930.94), RAFFAELLO (Raffaello Sanzio), Portrait of a Young Man (Alessandro de Medici?), c. 1515, Oil on panel. 43,8 x 29 cm","&#169;Museo Thyssen-Bornemisza, Madrid",,gallery,,,<em>Portrait of a Young Man</em> (c.1515) by Raphael,"<p>The subject of this painting by Raphael (1484&ndash;1520), one of the great artists of the High Renaissance, is thought to be Alessandro de Medici, the illegitimate son of Pope Clement VII. This haughty youth later became a tyrant and was murdered by his cousin in 1537.</p>",,,,,,
,Museo Thyssen-Bornemisza,TT_MADRID024MUSTHY_009,madrid,TRUE,museo_thyssen_bornemisza_annunciation_madrid,,,,"171 (1954.1), GRECO, El (Domenico TEOTOCOPULI), Annunciation,  1596-1600, Oil on canvas. 114 x 67 cm","&#169;Museo Thyssen-Bornemisza, Madrid",,gallery,,,<em>The Annunciation</em> (1967–77) by El Greco,"<p>Distorted figures, swirling lines and bold colours are typical of the Mannerist style which El Greco (1541&ndash; 1614) mastered in Venice, where he was influenced by Titian and Tintoretto, both masters of the High Renaissance. This intensely spiritual painting (c.1567&ndash;1577) reveals the Cretan artist&rsquo;s development following his move to Toledo, Spain, in 1577.</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID076EXPMUS_002,madrid,TRUE,museo_thyssen_bornemisza_birth_the_renaissance_madrid,,,,"133 (1971.7), DUCCIO DI BUONINSEGNA, Christ and the Samaritan Woman, 1310-1311, Tempera and gold on panel. 43,5 x 46 cm","&#169;Museo Thyssen-Bornemisza, Madrid",<em>Christ and the Samaritan Woman<em> (1311) by Duccio,findOutMore,,,The birth of the Renaissance,"<p>Early Italian art (room 1), while still influenced by medieval aesthetics and often overwhelmingly religious in subject matter, shows a gradual return to naturalism. Paintings become more three-dimensional and strive to tell a story, as in Duccio&rsquo;s <em>Christ and the Samaritan Woman</em> (1311).</p><p>The section on medieval art (room 2) illustrates how Italian influences combined with the Gothic style popular in Europe, such as Koerbecke&rsquo;s <em>Assumption of the Virgin</em> (c.1457).</p><p>Room 3 shows early Dutch art, including two jewels of the collection, Jan van Eyck&rsquo;s <em>The Annunciation</em> (c.1433&ndash;35) and Petrus Christus&rsquo;s <em>Our Lady of the Dry Tree</em> (c.1465). The stage is set for the aesthetic revolution of the Renaissance and a return to Classical forms, which began in Italy in the 1400s. The best example is Bramantino&rsquo;s <em>Resurrected Christ</em> (room 4).</p><p>Later, religion ceases to be the dominant theme, as seen in the outstanding series of early Renaissance portraits (room 5), including Holbein&rsquo;s detailed <em>Henry VIII</em> (c.1537).</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID076EXPMUS_004,madrid,TRUE,museo_thyssen_bornemisza_renaissance_baroque_madrid,,,,"82 (1935.3), CARPACCIO, Vittore, Young Knight in a Landscape, 1510, Oil on canvas. 218,5 x 152,2 x 3,2 cm","&#169;Museo Thyssen-Bornemisza, Madrid",<em>Young Knight in a Landscape</em> (1510) by Vittore Carpaccio,findOutMore,,,Renaissance to Baroque,"<p>This section encompasses the height of the Renaissance, ending with Baroque art and 18th-century Italian painting. Outstanding examples of high Renaissance in Italy (room 7) include Carpaccio&rsquo;s <em>Young Knight in a Landscape</em> (1510) and Raphael&rsquo;s <em>Portrait of a Young Man</em> (c.1515).</p><p>Rooms 8&ndash;10 are dedicated to German and Dutch painters of the same period, including D&uuml;rer, with his <em>Jesus among the Doctors</em> (1506). Room 11 has works by Titian (<em>St Jerome in the Wilderness</em> c.1575), Tintoretto and El Greco.</p><p>Room 12 begins with early Baroque, when artists started to break with the rigid Classical rules of the Renaissance and introduce elements of drama and pathos into their work. This new trend flourishes in the art in rooms 13&ndash;15, with examples from Italy, France and Spain, where the period corresponded with the Siglo de Oro (Golden Century) of the arts. Included here is Murillo&rsquo;s <em>Madonna with Child with St Rosalina of Palermo</em> (c.1670).</p><p>Italy&rsquo;s continuing influence on European art is recognized in rooms 16&ndash;18, devoted to 18th-century Italian art, in which landscapes make an appearance. This is illustrated by two views of the Canal Grande in Venice, one by Canaletto (c.1723&ndash;24) and a later one by Francesco Guardi.</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID076EXPMUS_006,madrid,TRUE,museo_thyssen_bornemisza_dutch_flemish_painting_madrid,,,,"393 (1981.16), BRUGGHEN, Hendrick ter, Esau Selling His Birthright, c. 1627, Oil on canvas. 106,7 x 138,8 cm","&#169;Museo Thyssen-Bornemisza, Madrid",<em>Esau Selling His Birthright</em> (c.1627) by Hendrick ter Brugghen,findOutMore,,,Dutch and Flemish painting,"<p>The remarkable series of Dutch and Flemish art is a strong point of the collection. Room 19 features 17th-century Flemish painting, with works by Jan Brueghel the Elder and Van Dyck, though the big attraction is <em>Venus and Cupid</em> (c.1606&ndash;11), one of four Rubens on display.</p><p>The growing distinction between Flemish and Dutch works can be seen by comparing the preceding works with the Dutch art in rooms 20&ndash;21. The theme here is the Italian influence on Dutch portraiture and painting, for example in <em>Esau Selling His Birthright</em> (c.1627) by Brugghen.</p><p>Some of the most interesting works are in rooms 22&ndash;26, where everyday scenes, landscapes and informal portraits reveal the unique quality of Dutch art. Excellent examples are Frans Hals&rsquo;s <em>Family Group in a Landscape</em> (c.1645&ndash;8) and Nicholas Maes&rsquo;s <em>The Naughty Drummer</em> (c.1655). Dutch still-lifes from the period are well-represented in room 27.</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID076EXPMUS_008,madrid,TRUE,museo_thyssen_bornemisza_rococo_realism_madrid,,,,"589 (1980.87), HOMER, Winslow, Waverly Oaks,  1864, Oil on paper. 33,6 x 25,4 cm","&#169;Museo Thyssen-Bornemisza, Madrid",<em>Waverly Oaks</em>(1864) by Winslow Homer,findOutMore,,,Rococo to Realism,"<p>Rococo to Neo-Classicism is the theme of this section, indicating a rapid shift in tastes over a relatively brief period. Rococo took Europe by storm at the beginning of the 18th century. It is best represented here in room 28 by Antoine Watteau&rsquo;s <em>The Rest</em> (c.1709) and <em>Pierrot Content</em> (c.1712), and by Fran&ccedil;ois Boucher&rsquo;s <em>La Toilette</em> (1742). However, the increasingly exaggerated forms of Rococo were eventually rejected in favour of more restrained and elegant lines. Meanwhile, different developments were taking shape across the ocean. Rooms 29&ndash;30 display 19th-century American painting. Landscape art fulfilled a need to express America&rsquo;s romantic spirit and pride in the land, as seen in the paintings of Thomas Cole. American artists were increasingly interested in depicting everyday scenes, such as idyllic fishing trips and strolls through the woods.</p><p>The coming of age of American art at the end of the century is represented by the paintings of Winslow Homer, especially <em>Waverly Oaks</em> (1864), James Whistler and John Singer Sargent.</p><p>In Europe, the 19th century saw the dawn of Romanticism (room 31), a transition best illustrated here through three works by Goya. The series also demonstrates a growing trend towards Realism, a shift that is plainly depicted in Constable&rsquo;s <em>The Lock</em> (1824).</p>",,,,,,
,Museo Thyssen-Bornemisza,EWTG_MADRID076EXPMUS_010,madrid,TRUE,museo_thyssen_bornemisza_modern_masters_madrid,,,,"515 (1971.2), DEGAS, Edgar, Swaying Dancer (Dancer in Green), 1877-1879, Pastel and gouache on paper. 64 x 36 cm","&#169;Museo Thyssen-Bornemisza, Madrid",<em>Swaying Dancer</em> (1877–9) by Degas,findOutMore,,,Modern Masters,"<p>The year 1863 was pivotal in the evolution of modern art. Artists whose work was rejected by Paris&rsquo;s art salon were displayed in a parallel Salon des Refus&eacute;s. This show of &ldquo;discarded art&rdquo; marked the birth of Impressionism. Some of the most highly regarded exponents of the movement are represented in rooms 32&ndash; 33, including Manet, Degas with <em>Swaying Dancer</em> (1877&ndash;9), Renoir and Sisley. Impressionism freed the artist and led to further developments, such as Post-Impressionism and Symbolism, which centred on the artist as an individual. Such is the case with Vincent van Gogh, represented here by <em>Les Vessenots in Auvers</em> (1890), Toulouse-Lautrec with Gaston Bonnefoy (1891), C&eacute;zanne with his <em>Portrait of a Farmer</em> (c.1905&ndash;6) and Gauguin, whose <em>Mata Mua</em> (c.1892), in room L, is now part of the Carmen Thyssen-Bornemisza Collection. A series of works in room 34, belonging to the Fauve school, demonstrates this short-lived movement based on bright colours and simplified forms.</p><p>A name that did endure was Expressionism, which started in Germany. This school drew on the artist&rsquo;s emotions, and sought to precipitate an emotion in the viewer. Its earliest practitioners were centred around the Dresden group, &ldquo;The Bridge&rdquo;, founded in 1905. Among its members was Karl Schmidt-Rottluf, whose <em>Autumn Landscape in Oldenburg</em> (1907) is shown here. The Expressionist art in rooms 35&ndash;40 includes Edward Hopper&rsquo;s <em>Hotel Room</em> (1931).</p><p>Eight ground-floor rooms (41&ndash;48) deal with modern and contemporary art, divided into three themes &ndash; &ldquo;Experimental Avant-Garde&rdquo;, &ldquo;The Synthesis of Modern&rdquo; and &ldquo;Surrealism, Figurative Tradition and Pop Art&rdquo;. Among the gems are Picasso&rsquo;s <em>Harlequin with a Mirror</em> (1923), Mark Rothko&rsquo;s <em>Green on Maroon</em> (c.1961), and portraits by Lucian Freud.</p>",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Museo del Prado,EWTG_MADRID082MUSDEL_009,madrid,TRUE,museo_del_prado_garden_earthly_delightsc_1505madrid_alamy_d3eajm,D3EAJM,Alamy,Painting,"Hieronymus Bosch, The Garden of Earthly Delights 1503–1504 Oil on wood. Museo del Prado, Madrid, Spain",&#169;Alamy Images/Painting,,gallery,,,<em>The Garden of Earthly Delights</em> (c.1505) by Hieronymus Bosch,"<p>Hieronymus Bosch (El Bosco in Spanish), one of Felipe II&rsquo;s favourite artists, is especially well represented in the Prado. This enigmatic painting depicts paradise and hell.</p>",,,,,,
,Museo del Prado,EWTG_MADRID082MUSDEL_011,madrid,TRUE,museo_del_prado_adoration_the_shepherds1612_14madrid_alamy_ahxygg,AHXYGG,Alamy,Interfoto/Fine Arts,"""fine arts, Greco, El, actually Domenikos Theotokopoulos, (1541 - 1614), painting, ""the adoration of the shepherds"", circa 161",&#169;Alamy Images/Interfoto/Fine Arts,,gallery,,,<em>The Adoration of the Shepherds</em> (1612–14) by El Greco,<p>This dramatic work shows the elongated figures and swirling garments typical of El Greco&rsquo;s style. It was painted during his late Mannerist period for his own funerary chapel.</p>,,,,,,
,Museo del Prado,EWTG_MADRID082MUSDEL_012,madrid,TRUE,museo_del_prado_vel_zquez_collection_madrid_alamy_bfkge8,BFKGE8,Alamy,Collection Dagli Orti,The Topers (los Borracios) or Triumph of Bacchus before 1629 165x225cm,&#169;Alamy Images/Collection Dagli Orti,,gallery,,,Velázquez Collection,"<p><em>The Triumph of Bacchus </em>(1629), Vel&aacute;zquez&rsquo;s first portrayal of a mythological subject, shows the god of wine (Bacchus) with a group of drunkards.</p>",,,,,,
,Museo del Prado,TT_MADRID012MUSDEL_009,madrid,TRUE,museo_del_prado_maja_naked_madrid_alamy_bfkdtr,BFKDTR,Alamy,The Art Archive,"La Maja Desnuda, The Nude Maja, 1797-1800 (possibly Prime Minister Godoy's mistress Pepita Tudo, also identified as the. ..",&#169;Alamy Images/The Art Archive,,gallery,,,<em>Maja Naked</em> (c.1797–1800) by Francisco de Goy,<p>This famous portrait is one of a pair by Francisco de Goya (1746&ndash;1828). The <em>Maja Clothed</em> is in the same room for comparison.</p>,,,,,,
,Museo del Prado,EWTG_MADRID082MUSDEL_013,madrid,TRUE,museo_del_prado_changes_the_prado_madrid_glow_iblwst01479350,iblwst01479350,Glow,Alberto Mateo/White Star,"Prado Museum, new construction by Moneo, and the restored Jeronimos Church, Paseo del Prado, La Milla de la Arquitectura, Madrid, Spain, Europe",&#169;Glow Images/Alberto Mateo/White Star,,gallery,,,Changes at the Prado,"<p>The new Jer&oacute;nimos Building houses temporary exhibitions and Renaissance sculptures, as well as a shop, caf&eacute;, restaurant, auditorium and cloakroom. In the future the Sal&oacute;n de Reinos might become part of the Prado.</p>",,,,,,
,Museo del Prado,TT_MADRID014ITAPAI_003,madrid,TRUE,museo_del_prado_story_nastagio_degli_onesti_madrid_alamy_d3fhdc,D3FHDC,Alamy,Painting,"Sandro Botticelli, The Story of Nastagio degli Onesti II Tempera on panel. Museo del Prado, Madrid",&#169;Alamy Images/Painting,,gallery,,,<em>The Story of Nastagio degli Onesti</em> (1483) by Botticelli,<p>These panels by Botticelli (c.1444&ndash;1510) were commissioned by two rich Florentine families.</p>,,,,,,
