poiID,type,poiName,overview,xmlID,street,town,postcode,area,county,country,telephoneDetail2,telephone,telephoneTitle1,telephone1,telephoneDetail1,telephoneTitle2,telephone2,telephoneTitle3,telephone3,telephoneDetail3,url,train ,tube,tram,bus,openingTimes,monthsClosed,daysClosed,wheelchairAccess,wheelchairAccessText,foodAndDrink,Shop,guidedTours,audioTours,toursText,Price - to be deleted once entered,adult,concessions,child,childText,currency,lat,long,indoor,timeInMins,unmissable,topChoice,theme,taxonomy - to be deleted later,cuisine,priceCat,additional_info,Image Required,SEO file name,caption,credit,number,source,photographer,agency description,info,imageName
rome_sight_0028,catalogue,Andrea,"<p>A very congenial restaurant, <strong>Andrea</strong> features a wide-ranging menu. The <em>suppl&igrave;</em> (rice croquette) is a classic starter.</p>",TT_ROME137PLAEAT_005,Via Sardegna 28,Rome,00187,Villa Borghese & Northern Rome,,Italy,,06 482 1891,,,,,,,,,www.ristoranteandrea.eu,,Barberini,,"61, 116, 116T, 160, 160F, C3, N1, N25","Mon–Sat, Sat dinner only",,Sun,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : over €60",,,,,EUR,41.9090092355025,12.4894653484307,TRUE,,FALSE,,Food and Drink,The Quirinal and Via Veneto | Places to Eat | Restaurant |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0029,,Angelina a Testaccio,"<p>The gem of the district, shabby chic <strong>Angelina a Testaccio</strong>&nbsp;offers a tempting Sunday brunch.</p>",,Via Galvani 24A,Rome,00153,Piazza di Spagna & Trevi Fountain,,Italy,,06 5728 3840,,,,,,,,,www.ristoranteangelina.com/en/angelina-in-testaccio.html,Porta S. Paolo,Piramide,Marmorata- Galvani,"83, 673, 719","Mon–Sat dinner only, Sun lunch only",,,,,,,,,,,,,,,EUR,41.876973,12.475101,TRUE,,FALSE,,Food and Drink,,Traditional Roman,£,,FALSE,,,,,,,,,#VALUE!
rome_sight_0030,catalogue,Angelina a Trevi,"<p><strong>Angelina a Trevi</strong> is a romantic coffee-tavern created inside a gardener&rsquo;s workshop. All meals, from breakfast to dinner, are served, using only the freshest ingredients.</p>",TT_ROME116PUBCAF_026_R13,Via Poli 27,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 7274,,,,,,,,,www.ristoranteangelina.com/en/angelina-in-trevi.html,,,,"52, 53, 62, 63, 71, 80, 80B, 83, 85, 119, 160, 160F, 175, 492, N4, N5","Daily, Sun lunch only",,,,,,,,,,,,,,,EUR,41.9026423576136,12.4825206398963,TRUE,,FALSE,,"Food and Drink, Cafes and Bars","The Spanish Steps and Villa Borghese | Pubs, Cafés and Bars | Restaurant |",,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0031,catalogue,Angolo Divino,<p><strong>Angolo Divino</strong> is an intimate and romantic enoteca. The warm chocolate cake is almost as divine as the wine list.</p>,,Via dei Balestrari,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 686 4413,,,,,,,,,,,,Arenula/cairoli,116,OPENING HOURS,,,,,,,,,,,,,,,EUR,41.894655,12.472172,TRUE,,FALSE,,Food and Drink,,Enoteca,££,,FALSE,,,,,,,,,#VALUE!
rome_sight_0032,catalogue,Antica Birreria Peroni,"<p>A 1960s beer hall sponsored by Italy&rsquo;s biggest brewery, <strong>Antica Birreria Peroni</strong> is a casual spot to have a beer &ndash; try their &ldquo;Blue Ribbon&rdquo; Nastro Azzurro label. The buffet snacks and scrumptious main dishes cross Roman and Germanic influences, and the Art Deco murals feature cherubs playing sports and promising &ldquo;He who drinks beer lives to 100&rdquo;.</p>","TT_ROME074RESTAU_010, TT_ROME117PLAEAT_004",Via San Marcello 19,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 5310,,,,,,,,,www.anticabirreriaperoni.net,,,,"53, 62, 63, 80, 80B, 83, 85, 119, 160, 160F, 175, 492, C3, N4, N5",noon–midnight Mon–Sat,,Sun,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,EUR,41.8985497879032,12.4825957417488,TRUE,,FALSE,,"Food and Drink, Cafes and Bars",,Birreria,£,,FALSE,,,,,,,,,#VALUE!
rome_sight_0033,catalogue,Antica Pesa,"<p>Many Hollywood celebrities have dined at <strong>Antica Pesa</strong>, as attested by the pictures at the entrance. Contemporary frescoes, a classy ambience and a sumptuous garden act as the perfect backdrop for the high quality Roman cuisine. Try the usual classics like <em>amatriciana</em>. Extensive but pricey wine list.</p>",TT_ROME074RESTAU_023_R13,Via Garibaldi 18,Rome,00153,Trastevere & Janiculum Hill,,Italy,,06 580 9236,,,,,,,,,www.anticapesa.it,,,,125,Mon–Sat,,Sun,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : over €60",,,,,EUR,41.8905525288679,12.4664817005395,TRUE,,FALSE,Food and Drink,Food and Drink,Restaurants | Restaurant |,Fine Dining,£££,,TRUE,antica_pesa_cantina_rome_004,Antica Pesa,&#169;Antica Pesa,,,,,,antica_pesa_cantina_rome
rome_sight_0034,catalogue,Antica Taverna,"<p>The owners of <strong>Antica Taverna</strong> get the goat&rsquo;s milk, ricotta and rabbit from their hometown in the Sabine Hills.</p>",TT_ROME089PLAEAT_010,Via Monte Giordano 12,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 6880 1053,,,,,,,,,www.anticatavernamangiabene.it,,,,"30, 40, 46, 62, 64, 70, 81, 87, 116, 116T, 130F, 186, 190F, 492, 571, 628",Daily,,,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,EUR,41.89952565,12.46920244,TRUE,,FALSE,,Food and Drink,Around Piazza Navona | Places to Eat | Restaurant |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0035,catalogue,Antico Arco,"<p>A historic restaurant perched on the Gianicolo Hill, <strong>Antico Arco</strong> is set in a homely villa and serves inventive dishes based on traditional recipes. There are sommeliers on hand to help choose the perfect accompanying wine. The stone and brick walls add to the atmosphere, and seating upstairs is particularly cosy. End the evening with their famed chocolate souffl&eacute; with a molten centre.</p>","TT_ROME060ROMSPO_005_R10_003_R11_015, TT_ROME149FINDIN_005_R13",Piazzale Aurelio 7,Rome,00152,Trastevere & Janiculum Hill,,Italy,,06 581 5274,,,,,,,,,www.anticoarco.it,,,,"115, 710, 870, 984",Daily,,,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €50–60",,,,,EUR,41.8880852233333,12.4603681133333,TRUE,,FALSE,,Food and Drink,,Fine Dining,£££,,FALSE,,,,,,,,,#VALUE!
rome_sight_0036,catalogue,Antico Caffè Greco,"<p>Rome&rsquo;s premier literary caf&eacute; since 1760, <strong>Antico Caff&egrave; Greco</strong> is best known for its popularity with the 19th-century English Romantic poets. Writers such as Keats, Byron and Goethe and composers like Liszt, Wagner and Bizet all breakfasted and drank here. So too did Casanova, and mad King Ludwig of Bavaria. Today, Italians stand in the crowded foyer to sip a quick espresso coffee, and foreigners sit in a cosy back room, whose walls are studded with portraits of the caf&eacute;&rsquo;s illustrious customers.</p>","TT_ROME070CAFGEL_001, TT_ROME116PUBCAF_003, EWTG_ROME133CAFGRE",Via dei Condotti 86,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 1700,,,,,,,,,www.anticocaffegreco.eu/,,Spagna,,"81, 116, 117, 119, 492",Daily,,"1 Jan, 14 & 15 Aug",TRUE,,,,,,,,,,,,EUR,41.9063970628086,12.4818447232246,TRUE,,FALSE,Cafes and Bars,Cafes and Bars,,Caffe,,"location: Intersection of Via Statilia and Via di Santa Croce in Gerusalemme. | transport - tram: 3, 5, 14, 19. |",TRUE,antico_caffe_greco_rome_dk_AL230871,"Interior, Antico Caffè Greco",&#169;dkimages,AL230871,,,,,antico_caffe_greco_rome_dk_AL23
rome_sight_0037,catalogue,Aqueduct of Nero and the Freedmen’s Tombs,"<p>Built as an extension of the Aqua Claudia to supply Nero&rsquo;s Golden House, and later extended to the Imperial residences on the Palatine, the <strong>Aqueduct of Nero</strong> was constructed in the 1st century AD. Partly incorporated into later buildings, the imposing arches make their way via the Lateran to the Celian hill.</p><p>Along the first section of the aqueduct, in Via Statilia, is the <strong>Freedmen&rsquo;s Tombs</strong> &ndash;small tombs in the shape of a house, dating from the 1st century BC, bearing the names and likenesses of a group of freed slaves. Their name, Statilii, indicates that they had been freed by the Statilii, the family of Claudius&rsquo;s notorious wife Messalina. Servants of families often pooled funds in this way to pay for a dignified burial in a common resting place.</p>",EWTG_ROME184AQUNER,Intersection of Via Statilia and Via di Santa Croce in Gerusalemme,Rome,00185 ,Ancient Rome,,Italy,,06 0608,,,,,,,,,,Porta Maggiore,Manzoni,Piazza Di Porta Maggiore,"105, 649",By appointment only (phone ahead),,,,,,,,,,,,,,,EUR,41.889973,12.511378,FALSE,,FALSE,,Ancient Ruins,Ancient Sites | LATERAN |,,,,TRUE,aqueduct_of_nero_and_the_freedmen_s_tombs_rome_dk_AL544333,"Freedmen's Tomb, near the Aqueduct of Nero",&#169;dkimages,AL544333,,,,,aqueduct_of_nero_and_the_freedmen_s_tombs_rome_dk_AL54
rome_sight_0038,catalogue,Ara Pacis,"<p>Constructed under Emperor Augustus, the <strong>Ara Pacis</strong>, or Altar of Peace, is one of the most significant monuments of ancient Rome. It was erected in 9 BC to celebrate the peace and prosperity Augustus had brought to the Roman Empire after his victorious campaigns in Gaul and Spain.</p><p>Commissioned by the Senate, the <strong>Ara Pacis</strong> was positioned so that the shadow of the huge obelisk sundial on Campus Martius would fall upon it on Augustus&rsquo; birthday. Carved along the sides of the altar in Carrara marble are figures in depicting a procession that took place on 4 July 13 BC &ndash; <em>lictors</em> (guards), <em>augurs</em> (soothsayers) and <em>flamines</em> (priests) are followed by Augustus and his family members. The members of the emperor&rsquo;s family can be identified, ranked by their position in the succession. At the time the heir apparent was Marcus Agrippa, husband of Augustus&rsquo;s daughter Julia. All the portraits in the relief are carved with extraordinary realism, even the innocent toddler clinging to his mother&rsquo;s skirts. A scale model of the Ara Pacis with a key helps to identify the characters, while a huge Caesar family tree makes it easier to work out who is related to whom.</p><p>The tale of the rediscovery of the <strong>Ara Pacis</strong> dates back to the 16th century, when the first panels were unearthed. One section ended up in Paris, another in Florence. Further discoveries were made in the late 19th century, when archaeologists finally realized just what they had found. What we see today has all been pieced together since 1938, in part original, in part facsimile. In 1999 the architect Richard Meier designed a building to house the monument, the first modern structure to rise in the centre of Rome in 70 years.</p><p>Visible from the <strong>Ara Pacis</strong> is an overgrown brick cylinder that is actually the Mausoleum of Augustus, where the emperor and his family were buried. The mausoleum is currently undergoing restoration and there are plans to re-open it &ndash; exactly 2,000 years after Augustus died in AD 14 &ndash; as part of a pedestrianized Tridente zone.</p>",,Lungotevere in Augusta,Rome,00186,Piazza di Spagna & Trevi Fountain,,Italy,,06 0608,,,,,,,,,www.arapacis.it,,,,"70, 81, 117, 119, 186, 224, 590, 628, 913, 913F, 913FL, 926, C3",9am–7pm Tue–Sun,,Mon,TRUE,,,TRUE,TRUE,TRUE,"Audioguides (€3.50) available from the ticket desk in Italian, English, French & Spanish",€30–40; EU under 18s €5.50; under 6s free |,,5.50,0,"EU under 25s and over 65 €5.50, under 6s free",EUR,41.905818,12.475222,TRUE,,FALSE,Historic Sights and Landmarks,Historic Sights and Landmarks,,,,,TRUE,ara_pacis_rome_dk_AL545420,Ara Pacis (Altar of Peace),&#169;dkimages,AL545420,,,,,ara_pacis_rome_dk_AL54
